movie title,Year,color,duration,genre1,genre2,genre3,genre4,genre5,genre6,genre7,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keyword1,plot_keyword2,plot_keyword3,plot_keyword4,plot_keyword5,num_user_for_reviews,language,country,content_rating,gross,budget,Gross_to_Budget_Ratio,IMDB Score,aspect_ratio, Facebook Likes 
The Men Who Stare at Goats,2009,Color,94,Comedy,War,,,,,,293,18000,12000,939,109620,32474,0,first person narration,general,hampster,reference to loch ness monster,reporter,268,English,USA,R,"$32,416,109 ","$25,000,000 ",1.3,6.2,2.35," 21,000 "
Double Take,2001,Color,88,Action,Comedy,Crime,Thriller,,,,269,1000,489,384,5431,2557,2,cia,cia agent,fbi,mexico,train,50,English,USA,PG013,"$20,218 ","$24,000,000 ",0,5.3,2.35, -   
"Girl, Interrupted",1999,Color,127,Biography,Drama,,,,,,446,11000,1000,898,125421,13433,0,1960s,father daughter incest,mental hospital,suicide,suicide attempt,385,English,USA,R,"$28,871,190 ","$24,000,000 ",1.2,7.3,1.85, -   
Win a Date with Tad Hamilton!,2004,Color,95,Comedy,Romance,,,,,,126,2000,989,886,22844,4681,1,best friend,contest,date,small town,west virginia,140,English,USA,PG013,"$16,964,743 ","$24,000,000 ",0.71,5.6,2.35," 18,000 "
Muppets from Space,1999,Color,87,Adventure,Comedy,Family,Fantasy,Music,Sci0Fi,,25,1000,670,611,14637,3243,0,alien,breakfast,escape,rat,ufo,100,English,USA,G,"$16,290,976 ","$24,000,000 ",0.68,6.2,1.85, 660 
The Wiz,1978,Color,118,Adventure,Family,Fantasy,Music,Musical,,,0,738,295,227,10895,1458,0,melancholy,new york city,sadness,teacher,wizard,150,English,USA,G,"$13,000,000 ","$24,000,000 ",0.54,5.2,1.85, -   
Ready to Rumble,2000,Color,107,Comedy,Sport,,,,,,48,1000,957,940,11709,4971,1,gay subtext,homoerotic fight,homoeroticism,homosexual subtext,wcw wrestling,101,English,USA,PG013,"$12,372,410 ","$24,000,000 ",0.52,5.3,1.85," 24,000 "
Play It to the Bone,1999,Color,124,Comedy,Drama,Sport,,,,,41,512,481,197,10100,1523,0,boxing movie,friendship,highway travel,male rear nudity,road movie,59,English,USA,R,"$8,427,204 ","$24,000,000 ",0.35,5.4,2.35," 11,000 "
I Don't Know How She Does It,2011,Color,89,Comedy,Romance,,,,,,41,2000,1000,847,16437,5470,0,black comedy,delivery boy,dinner,gym,punishment,68,English,USA,PG013,"$9,639,242 ","$24,000,000 ",0.4,4.9,1.85, -   
Piranha 3D,2010,Color,88,Comedy,Horror,,,,,,192,3000,859,847,72552,5737,0,bloody water,boat,party,piranha,spring break,374,English,USA,R,"$25,003,072 ","$24,000,000 ",1.04,5.5,2.35," 7,000 "
Beyond the Sea,2004, Black and White,118,Biography,Drama,Music,Musical,,,,18000,18000,5000,286,12821,23689,1,bobby darin,career,love,marriage,sandra dee,248,English,USA,PG013,"$6,144,806 ","$23,000,000 ",0.27,6.7,2.35, -   
Meet the Deedles,1998,Color,93,Comedy,Family,,,,,,9,23000,284,254,2265,24436,2,accidental kiss,eating a worm,park,worm,yellowstone national park,37,English,USA,PG,"$4,308,981 ","$24,000,000 ",0.18,3.9,," 29,000 "
The Princess and the Cobbler,1993,Color,80,Action,Adventure,Animation,Comedy,Fantasy,,,18,742,83,73,2541,1088,0,cobbler,desert,gold,princess,thief,47,English,UK,G,"$669,276 ","$28,000,000 ",0.02,7.2,2.35," 6,000 "
The Bridge of San Luis Rey,2004,Color,120,Drama,Romance,,,,,,6,22000,670,382,2919,23769,3,bridge,friar,inquisition,peru,rope bridge,50,English,UK,PG,"$42,880 ","$24,000,000 ",0,5.1,1.85, -   
Faster,2010,Color,98,Action,Crime,Drama,Thriller,,,,88,12000,854,706,80574,14699,1,gun,prison,reference to god,reference to jesus christ,vengeance,157,English,USA,R,"$23,225,911 ","$24,000,000 ",0.97,6.5,2.35, -   
Howl's Moving Castle,2004,Color,119,Adventure,Animation,Family,Fantasy,,,,6000,23000,713,422,214091,24263,0,anime,castle,demon,steampunk,witch,330,Japanese,Japan,PG,"$4,710,455 ","$24,000,000 ",0.2,8.2,1.85," 32,000 "
Zombieland,2009,Color,88,Adventure,Comedy,Horror,Sci0Fi,,,,181,15000,13000,11,386217,28011,4,amusement park,on the road,zombie,zombie apocalypse,zombie spoof,553,English,USA,R,"$75,590,286 ","$23,600,000 ",3.2,7.7,2.35, -   
King Kong,2005,Color,201,Action,Adventure,Drama,Romance,,,,0,6000,918,84,316020,7122,0,animal name in title,ape abducts a woman,gorilla,island,king kong,2618,English,New Zealand,PG013,"$218,051,260 ","$207,000,000 ",1.05,7.2,2.35, -   
The Waterboy,1998, Black and White,90,Comedy,Sport,,,,,,153,11000,1000,427,119450,13823,0,coach,college,college football,domineering mother,football,300,English,USA,PG013,"$161,487,252 ","$20,000,000 ",8.07,6.1,1.85," 25,000 "
Star Wars: Episode V 0 The Empire Strikes Back,1980,Color,127,Action,Adventure,Fantasy,Sci0Fi,,,,883,11000,504,441,837759,12643,0,duel,famous twist,rebel,rescue,snowy landscape,900,English,USA,PG,"$290,158,751 ","$18,000,000 ",16.12,8.8,2.35, 542 
Bad Boys,1995,Color,119,Action,Comedy,Crime,Drama,Thriller,,,0,10000,345,244,172405,11013,0,drugs,heroin,murder,police,witness,203,English,USA,R,"$65,807,024 ","$19,000,000 ",3.46,6.8,1.85, -   
The Naked Gun 2½: The Smell of Fear,1991,Color,85,Comedy,Crime,,,,,,119,3000,348,144,83269,3847,6,american president,evil industrialist,ex girlfriend,political leader,president,87,English,USA,PG013,"$86,930,411 ","$23,000,000 ",3.78,6.8,1.85," 19,000 "
Final Destination,2000,Color,98,Horror,Thriller,,,,,,70,1000,847,591,181058,3345,1,dead teenager,death,explosion,premonition,teenager,674,English,USA,R,"$53,302,314 ","$23,000,000 ",2.32,6.7,1.85, -   
The Ides of March,2011,Color,101,Drama,,,,,,,0,33000,22000,1000,188652,57077,1,governor,intern,manager,ohio,politics,288,English,USA,R,"$40,962,534 ","$12,500,000 ",3.28,7.1,2.35, -   
Pitch Black,2000,Color,112,Horror,Sci0Fi,,,,,,123,14000,991,787,193962,16196,0,captain,darkness,eclipse,space,survival,805,English,USA,R,"$39,235,088 ","$23,000,000 ",1.71,7.1,2.35, -   
Someone Like You...,2001,Color,97,Comedy,Romance,,,,,,956,20000,551,99,19709,20798,3,apartment,girl in panties,roommate,thong panties,upskirt,167,English,USA,PG013,"$27,338,033 ","$23,000,000 ",1.19,6.1,1.85, 666 
Her,2013,Color,126,Drama,Romance,Sci0Fi,,,,,0,19000,128,105,355126,19359,1,divorce,female frontal nudity,future,loneliness,operating system,748,English,USA,R,"$25,556,065 ","$23,000,000 ",1.11,8,1.85," 16,000 "
Eddie the Eagle,2016,Color,106,Biography,Comedy,Drama,Sport,,,,452,20000,732,141,32513,21195,3,1988 winter olympics,coach,ski jumper,winter,winter olympics,119,English,UK,PG013,"$15,785,632 ","$23,000,000 ",0.69,7.5,2.35, 187 
Joy Ride,2001,Color,97,Mystery,Thriller,,,,,,131,23000,81,62,53415,23242,2,embarrassing male nudity,embarrassing nudity,male nudity,truck,truck driver,339,English,USA,R,"$21,973,182 ","$23,000,000 ",0.96,6.6,2.35, 329 
The Adventurer: The Curse of the Midas Box,2013,Color,100,Adventure,Family,Fantasy,,,,,3,2000,228,88,4191,2450,4,based on novel,drowning,hanging from a flagpole,hanging from a rope,magic,32,English,UK,PG,"$4,756 ","$25,000,000 ",0,5.4,2.35, -   
Anywhere But Here,1999,Color,114,Comedy,Drama,,,,,,61,20000,797,407,14786,22040,2,family relationships,female protagonist,nubile woman,policeman,teenager,103,English,USA,PG013,"$18,653,615 ","$23,000,000 ",0.81,6.1,2.35, -   
Chasing Liberty,2004,Color,101,Comedy,Romance,,,,,,3,448,143,120,30092,829,0,first daughter,photographer,prague,president,secret service agent,129,English,USA,PG013,"$12,189,514 ","$23,000,000 ",0.53,6.1,2.35, -   
The Crew,2000,Color,88,Comedy,Crime,,,,,,12,327,281,249,3914,1509,4,beach,drug lord,drugs,hotel,stripper,47,English,USA,PG013,"$13,019,253 ","$23,000,000 ",0.57,5.6,1.85, -   
Haywire,2011,Color,93,Action,Thriller,,,,,,0,17000,13000,947,72646,31187,5,die hard scenario,one woman army,rescue,soldier,super soldier,397,English,Ireland,R,"$18,934,858 ","$23,000,000 ",0.82,5.8,2.35, 671 
Jaws: The Revenge,1987,Color,92,Adventure,Horror,Thriller,,,,,114,912,535,434,30840,2355,0,banana boat,boat,christmas,sea,shark,383,English,USA,PG013,"$20,763,013 ","$23,000,000 ",0.9,2.8,2.35," 10,000 "
Marvin's Room,1996,Color,98,Drama,,,,,,,4,29000,22000,11000,20163,63194,2,house,leukemia,mental institution,nursing home,transplant,71,English,USA,PG013,"$12,782,508 ","$23,000,000 ",0.56,6.7,1.85," 58,000 "
The Longshots,2008,Color,94,Biography,Comedy,Drama,Family,Sport,,,258,721,463,424,3174,2453,2,absent father,american football,based on true story,middle school,,19,English,USA,PG,"$11,508,423 ","$23,000,000 ",0.5,5.1,2.35, -   
The End of the Affair,1999,Color,102,Drama,Romance,,,,,,277,327,261,57,17740,672,0,breasts,jealousy,obsession,sex scene,spiritual,165,English,UK,R,"$10,660,147 ","$23,000,000 ",0.46,7.2,1.85, -   
Harley Davidson and the Marlboro Man,1991,Color,98,Action,Crime,Drama,Thriller,Western,,,23,1000,1000,982,14473,3671,2,bar,biker,cowboy,drugs,marlboro,81,English,USA,R,"$7,434,726 ","$23,000,000 ",0.32,6,1.85, -   
Coco Before Chanel,2009,Color,111,Biography,Drama,,,,,,105,527,86,64,32003,735,1,baron,fashion,hat,nickname,orphanage,65,French,France,PG013,"$6,109,075 ","$19,430,000 ",0.31,6.7,2.35," 1,000 "
Chéri,2009,Color,100,Comedy,Drama,Romance,,,,,350,201,123,30,8924,365,1,age difference,courtesan,mansion,marriage,prostitute,43,English,UK,R,"$2,708,188 ","$23,000,000 ",0.12,6.2,2.35, -   
Vanity Fair,2004,Color,141,Drama,,,,,,,300,805,539,73,17373,1618,2,aristocrat,english,painter,painting,singer,148,English,USA,PG013,"$16,123,851 ","$23,000,000 ",0.7,6.2,2.35, -   
1408,2007,Color,114,Fantasy,Horror,,,,,,101,129,25,23,209396,214,0,book,debunking,evil,hotel,paranormal phenomena,580,English,USA,PG013,"$71,975,611 ","$25,000,000 ",2.88,6.8,2.35, -   
Spaceballs,1987,Color,96,Adventure,Comedy,Sci0Fi,,,,,0,1000,605,542,136667,2936,2,parody,planet enclosed within shield,sci fi spoof,self referential,winnebago,273,English,USA,PG,"$38,119,483 ","$22,700,000 ",1.68,7.1,1.85, 686 
The Water Diviner,2014,Color,111,Drama,War,,,,,,0,523,468,234,53341,1795,0,australian,battle,battle of gallipoli,gallipoli,world war one,185,English,Australia,R,"$4,190,530 ","$22,500,000 ",0.19,7.1,2.35, -   
Ghost,1990,Color,127,Drama,Fantasy,Romance,Thriller,,,,109,2000,956,71,154199,3100,0,death,film blanc,invisibility,love,unrequited love,252,English,USA,PG013,"$217,631,306 ","$22,000,000 ",9.89,7,1.85," 18,000 "
There's Something About Mary,1998,Color,107,Comedy,Romance,,,,,,101,931,852,743,247289,4664,1,accident,curtain call,dream girl,high school,prom,611,English,USA,R,"$176,483,808 ","$23,000,000 ",7.67,7.1,1.85, -   
The Santa Clause,1994,Color,97,Comedy,Drama,Family,Fantasy,,,,11,901,775,595,64742,2790,0,1990s,christmas,christmas eve,sleigh,surrealism,111,English,USA,PG,"$144,833,357 ","$22,000,000 ",6.58,6.4,1.85, -   
The Rookie,2002,Color,127,Drama,Family,Sport,,,,,102,2000,1000,1000,26434,6657,0,baseball,coach,high school,pitching,texas,174,English,USA,G,"$75,597,042 ","$20,000,000 ",3.78,7,2.35, -   
The Game Plan,2007,Color,110,Comedy,Family,Sport,,,,,99,12000,941,835,44021,15170,0,family relationships,football movie,publicist,sports team,tween girl,83,English,USA,PG,"$90,636,983 ","$22,000,000 ",4.12,6.2,2.35, -   
The Bridges of Madison County,1995,Color,135,Drama,Romance,,,,,,16000,16000,11000,86,54631,27237,0,1960s,bridge,housewife,love,photographer,192,English,USA,PG013,"$70,960,517 ","$35,000,000 ",2.03,7.5,1.85, -   
The Animal,2001,Color,84,Comedy,Sci0Fi,,,,,,42,436,241,182,47383,1203,1,camera focus on a female butt,cartoon on tv,forest,hairy buttocks,seal the animal,132,English,USA,PG013,"$55,762,229 ","$22,000,000 ",2.53,4.8,1.85, 657 
The Hundred0Foot Journey,2014,Color,122,Comedy,Drama,,,,,,529,820,201,171,52894,1484,3,chef,haute cuisine,indian cuisine,michelin guide,restaurant,185,English,USA,PG,"$54,235,441 ","$22,000,000 ",2.47,7.3,2.35," 108,000 "
The Net,1995,Color,114,Action,Crime,Drama,Mystery,Thriller,,,34,649,327,287,48909,1725,0,chat room,computer,computer hacker,identity,identity theft,166,English,USA,PG013,"$50,728,000 ","$22,000,000 ",2.31,5.8,1.85, 387 
I Am Sam,2001,Color,132,Drama,,,,,,,24,967,912,506,121937,3152,0,child custody,custody battle,disability,mentally impaired man,single father,431,English,USA,PG013,"$40,270,895 ","$22,000,000 ",1.83,7.6,1.85," 3,000 "
Son of God,2014,Color,170,Biography,Drama,History,,,,,25,329,134,55,15448,775,1,bare chested male bondage,crucifixion,loincloth,reference to god,resurrection,174,English,USA,PG013,"$59,696,176 ","$22,000,000 ",2.71,5.6,2.35, -   
Underworld,2003,Color,133,Action,Fantasy,Thriller,,,,,235,955,593,105,208092,1777,0,blood,death,hybrid,vampire,werewolf,806,English,UK,R,"$51,483,949 ","$22,000,000 ",2.34,7,2.35," 30,000 "
Derailed,2005,Color,112,Drama,Thriller,,,,,,101,896,561,218,62584,2019,2,drink,hotel,police,staged rape,thief,375,English,USA,R,"$36,020,063 ","$22,000,000 ",1.64,6.6,2.35, 901 
The Informant!,2009,Color,108,Comedy,Crime,Drama,Thriller,,,,0,13000,734,690,52888,16031,1,compulsive liar,fbi,informant,investigation,spy,175,English,USA,R,"$33,313,582 ","$21,000,000 ",1.59,6.5,1.85, -   
Shadowlands,1993,Color,115,Biography,Drama,Romance,,,,,0,12000,1000,266,13455,13619,0,author,book,england,friend,oxford,87,English,UK,PG,"$25,842,000 ","$22,000,000 ",1.17,7.4,2.35," 15,000 "
Deuce Bigalow: European Gigolo,2005,Color,83,Comedy,,,,,,,2,591,489,137,41239,1729,0,dolphin,gigolo,pimp,serial killer,villain arrested,166,English,USA,R,"$22,264,487 ","$22,000,000 ",1.01,4.6,1.85, -   
Delivery Man,2013,Color,105,Comedy,Drama,,,,,,31,390,311,110,59805,1006,10,children,identity,lawsuit,lawyer,sperm donor,95,English,USA,PG013,"$30,659,817 ","$26,000,000 ",1.18,6.4,2.35, -   
Victor Frankenstein,2015,Color,110,Drama,Horror,Sci0Fi,Thriller,,,,118,11000,1000,287,28621,12876,2,assistant,experiment,frankenstein,medical student,scientist,91,English,USA,PG013,"$5,773,519 ","$40,000,000 ",0.14,6,2.35, 834 
Saving Silverman,2001,Color,96,Comedy,Crime,Romance,,,,,221,240,226,110,33287,664,1,female nudity,friend,kidnapping,love,nun,201,English,USA,PG013,"$19,351,569 ","$22,000,000 ",0.88,5.9,1.85," 14,000 "
Diary of a Wimpy Kid: Dog Days,2012,Color,94,Comedy,Family,,,,,,42,975,569,517,15665,3153,2,best friend,camping,country club,no opening credits,summer vacation,35,English,USA,PG,"$49,002,815 ","$22,000,000 ",2.23,6.4,2.35, -   
Summer of Sam,1999,Color,142,Crime,Drama,Romance,Thriller,,,,0,978,911,854,31227,5386,0,distrust,fear,murder,neighborhood,new york city,354,English,USA,R,"$19,283,782 ","$22,000,000 ",0.88,6.6,1.85," 10,000 "
Jay and Silent Bob Strike Back,2001,Color,104,Comedy,,,,,,,0,8000,1000,898,128593,11632,5,internet,jay and silent bob,new jersey,orangutan,police,867,English,USA,R,"$30,059,386 ","$22,000,000 ",1.37,6.9,2.35, -   
The Island,2005,Color,136,Action,Adventure,Romance,Sci0Fi,Thriller,,,0,19000,12000,3000,263336,34838,1,clone,environment,escape,island,lottery,899,English,USA,PG013,"$35,799,026 ","$126,000,000 ",0.28,6.9,2.35, -   
The Glass House,2001,Color,106,Crime,Drama,Mystery,Thriller,,,,12,962,844,595,25462,4239,1,car,car accident,death,friend,glass,200,English,USA,PG013,"$17,951,431 ","$30,000,000 ",0.6,5.8,2.35, -   
"Hail, Caesar!",2016,Color,106,Comedy,Mystery,,,,,,1000,19000,17000,1000,60926,38494,5,50s,film within a film,hollywood,illegitimate pregnancy,twins,302,English,UK,PG013,"$29,997,095 ","$22,000,000 ",1.36,6.4,1.85, 564 
Josie and the Pussycats,2001,Color,98,Comedy,Music,,,,,,4,3000,486,83,18900,3769,0,based on tv series,fictional band,girl band,music industry,pop band,242,English,Canada,PG013,"$14,252,830 ","$22,000,000 ",0.65,5.3,1.85, 498 
Homefront,2013,Color,100,Action,Crime,Drama,Thriller,,,,39,26000,11000,798,82804,39989,1,biker,biker gang,dea,dea agent,fight,154,English,USA,R,"$19,783,777 ","$22,000,000 ",0.9,6.5,2.35, 377 
The Little Vampire,2000,Color,95,Adventure,Comedy,Family,Fantasy,,,,34,554,439,368,7242,2216,1,boy,pushed off a cliff,rat,secret passage,vampire,38,English,Germany,PG,"$13,555,988 ","$22,000,000 ",0.62,5.7,1.85, 246 
I Heart Huckabees,2004,Color,107,Comedy,,,,,,,737,6000,718,678,56813,8094,11,coincidence,cult film,overalls,suburb,vomiting,381,English,USA,R,"$12,784,713 ","$22,000,000 ",0.58,6.7,2.35, -   
RoboCop 3,1993,Color,104,Action,Crime,Sci0Fi,Thriller,,,,87,1000,826,691,35018,3148,0,android,corporation,ninja,police,robocop,180,English,USA,PG013,"$10,696,210 ","$23,500,000 ",0.46,3.9,1.85, -   
Megiddo: The Omega Code 2,2001,Color,104,Action,Adventure,Fantasy,Sci0Fi,Thriller,,,53,2000,595,576,2253,4221,0,armageddon,battle,end times,reference to satan,sequel,111,English,USA,PG013,"$5,974,653 ","$22,000,000 ",0.27,4.1,1.85, -   
Darling Lili,1970,Color,143,Comedy,Drama,Musical,Romance,War,,,688,638,50,42,1547,788,2,crepe suzette,french,mata hari spoof,song,spy,50,English,USA,G,"$5,000,000 ","$25,000,000 ",0.2,6.2,2.35, 378 
Dudley Do0Right,1999,Color,77,Comedy,Family,Romance,,,,,37,3000,968,795,8176,5568,0,gold,gold rush,mirror,police officer,singer,77,English,USA,PG,"$9,694,105 ","$22,000,000 ",0.44,3.8,2.35, -   
The Transporter Refueled,2015,Color,96,Action,Crime,Thriller,,,,,11,805,173,150,26767,1411,0,airfield,car,car stunt,driver,private jet,121,English,France,PG013,"$16,027,866 ","$25,000,000 ",0.64,5.1,2.35, -   
Black Book,2006,Color,145,Drama,Thriller,War,,,,,719,2000,380,104,59507,2590,1,boat,escape,hiding,nazi,resistance,232,Dutch,Netherlands,R,"$4,398,392 ","$21,000,000 ",0.21,7.8,2.35, 503 
Joyeux Noel,2005,Color,116,Drama,History,Music,Romance,War,,,13,203,172,140,21394,773,0,christmas,no man's land,soldier,trench,world war one,147,French,France,PG013,"$1,050,445 ","$22,000,000 ",0.05,7.8,2.35, 215 
Hit and Run,2012,Color,100,Action,Comedy,Romance,,,,,21,14000,618,552,29322,15922,5,gay cop,getaway driver,masturbation,penis,witness protection,104,English,USA,R,"$13,746,550 ","$2,000,000 ",6.87,6.1,2.35," 43,000 "
Mad Money,2008,Color,104,Comedy,Crime,Thriller,,,,,144,939,875,290,16831,2453,3,bank,federal reserve bank,money,security guard,shredder,54,English,USA,PG013,"$20,668,843 ","$22,000,000 ",0.94,5.8,2.35, -   
Before I Go to Sleep,2014,Color,92,Drama,Mystery,Thriller,,,,,17,14000,257,231,48873,14617,1,amnesia,female nudity,infidelity,nudity,therapist,105,English,UK,R,"$2,963,012 ","$22,000,000 ",0.13,6.3,2.35, -   
Stone,2010,Color,105,Drama,Thriller,,,,,,43,22000,14000,827,34985,37766,1,arsonist,blood splatter on face,deception,parole,parole officer,135,English,USA,R,"$1,796,024 ","$22,000,000 ",0.08,5.4,2.35, -   
Molière,2007,Color,120,Comedy,History,,,,,,2,809,521,80,5166,1651,1,deathbed,play,playwright,prison,theater,27,French,France,PG013,"$634,277 ","$16,000,000 ",0.04,7.3,2.35," 14,000 "
Out of the Furnace,2013,Color,116,Crime,Drama,Thriller,,,,,108,23000,820,120,83171,24134,0,ambiguous ending,brother brother relationship,drug dealer,fight club,revenge,231,English,USA,R,"$11,326,836 ","$22,000,000 ",0.51,6.8,2.35, -   
Michael Clayton,2007,Color,119,Crime,Drama,Mystery,Thriller,,,,209,1000,896,521,133367,3284,0,attorney,debt,fixer,law,law firm,363,English,USA,R,"$49,024,969 ","$25,000,000 ",1.96,7.3,2.35, 581 
My Fellow Americans,1996,Color,101,Adventure,Comedy,,,,,,88,957,821,812,12278,4629,3,gay pride,highway travel,president,road movie,u.s. president,71,English,USA,PG013,"$22,294,341 ","$21,500,000 ",1.04,6.5,1.85, -   
Arlington Road,1999,Color,117,Crime,Drama,Thriller,,,,,89,12000,541,442,69980,13576,1,death,fbi,fbi agent,neighbor,professor,591,English,USA,R,"$24,362,501 ","$21,500,000 ",1.13,7.2,2.35," 5,000 "
To Rome with Love,2012,Color,112,Comedy,Romance,,,,,,11000,385,223,159,67893,1205,0,architect,celebrity,prostitute,shower,tourist,163,English,USA,R,"$16,684,352 ","$17,000,000 ",0.98,6.3,1.85, -   
Firefox,1982,Color,136,Action,Adventure,Thriller,,,,,16000,16000,281,216,19832,16805,1,fighter plane,jet fighter,refueling,russia,soviet union,98,English,USA,PG,"$46,700,000 ","$21,000,000 ",2.22,5.9,2.35," 19,000 "
South Park: Bigger Longer & Uncut,1999,Color,81,Animation,Comedy,Fantasy,Musical,,,,406,893,795,406,162037,3003,1,boy,canada,hell,misunderstanding,refrence to liza minnelli,928,English,USA,R,"$52,008,288 ","$21,000,000 ",2.48,7.8,1.85, 853 
Death at a Funeral,2007,Color,87,Comedy,,,,,,,0,22000,557,548,89547,24324,0,end credits roll call,four word title,funeral,secret,uncle,199,English,USA,R,"$8,579,684 ","$9,000,000 ",0.95,7.4,1.85," 77,000 "
Teenage Mutant Ninja Turtles III,1993,Color,96,Action,Adventure,Comedy,Family,Fantasy,Sci0Fi,,8,533,219,199,25086,1254,0,battle,japan,magic,samurai,turtle,87,English,USA,PG,"$42,660,000 ","$17,000,000 ",2.51,4.8,1.85, -   
Hardball,2001,Color,106,Drama,Sport,,,,,,48,18000,558,39,22649,18630,3,coach,gambling,housing project,little league,little league baseball,131,English,USA,PG013,"$40,219,708 ","$21,000,000 ",1.92,6.3,1.85, -   
Silver Linings Playbook,2012,Color,122,Comedy,Drama,Romance,,,,,737,34000,22000,14000,533607,72115,0,adulterous wife,bipolar disorder,obsessive compulsive personality disorder,unhappy marriage,widow,692,English,USA,R,"$132,088,910 ","$21,000,000 ",6.29,7.8,2.35, 982 
Freedom Writers,2007,Color,123,Biography,Crime,Drama,,,,,98,2000,826,579,52533,3994,1,gang violence,high school,journal,marriage,teacher,235,English,Germany,PG013,"$36,581,633 ","$21,000,000 ",1.74,7.5,1.85, 261 
The Transporter,2002,Color,92,Action,Crime,Thriller,,,,,255,26000,1000,447,237248,27572,0,bar,gunfight,human trafficking,mixed martial arts,tire iron,460,English,France,PG013,"$25,296,447 ","$21,000,000 ",1.2,6.8,2.35, -   
Never Back Down,2008,Color,110,Action,Drama,Sport,,,,,65,3000,427,149,80556,4089,1,club,fight,fighting,high school,mixed martial arts,184,English,USA,PG013,"$24,848,292 ","$20,000,000 ",1.24,6.6,2.35," 17,000 "
The Rage: Carrie 2,1999, Black and White,104,Horror,Sci0Fi,Thriller,,,,,52,711,490,484,13065,3162,1,high school,party,prom,suicide,teenage girl,253,English,USA,R,"$17,757,087 ","$21,000,000 ",0.85,4.6,1.85, 491 
Away We Go,2009,Color,98,Comedy,Drama,Romance,,,,,0,925,472,374,45992,1997,2,baby,children,friend,love,road trip,115,English,USA,R,"$9,430,988 ","$17,000,000 ",0.55,7.1,2.35," 7,000 "
Swing Vote,2008,Color,120,Comedy,Drama,,,,,,0,1000,901,886,15079,6212,1,ballot,election,new mexico,vote,voting,79,English,USA,PG013,"$16,284,360 ","$21,000,000 ",0.78,6.1,2.35, 348 
Moonlight Mile,2002,Color,112,Drama,Romance,,,,,,52,15000,1000,347,11983,16692,3,1970s,death,district attorney,fiancee,watching television,147,English,USA,PG013,"$6,830,957 ","$21,000,000 ",0.33,6.7,2.35, -   
Tinker Tailor Soldier Spy,2011,Color,127,Drama,Mystery,Thriller,,,,,140,19000,14000,10000,149066,46241,1,cold war,hungary,mole,spy,woman on top,517,English,France,R,"$24,104,113 ","$20,000,000 ",1.21,7.1,2.35," 32,000 "
Molly,1999,Color,102,Comedy,Drama,Romance,,,,,18,670,419,186,2295,1562,1,autism,experimental surgery,female nudity,forename as title,regression,40,English,USA,PG013,"$15,593 ","$21,000,000 ",0,5.8,1.85, 739 
The Beaver,2011,Color,91,Drama,,,,,,,0,34000,242,220,39764,34705,0,beaver puppet,depression,dysfunctional family,puppet,speech,148,English,USA,PG013,"$958,319 ","$21,000,000 ",0.05,6.7,2.35, 206 
The Best Little Whorehouse in Texas,1982,Color,114,Comedy,Musical,,,,,,19,1000,883,842,7748,3688,2,chicken,governor,locker room,sheriff,texas,48,English,USA,R,"$69,700,000 ","$35,000,000 ",1.99,5.8,2.35, 295 
eXistenZ,1999,Color,115,Horror,Sci0Fi,Thriller,,,,,0,1000,900,716,77493,2990,0,assassin,game,game designer,pod,virtual reality,527,English,Canada,R,"$2,840,417 ","$31,000,000 ",0.09,6.8,1.85," 11,000 "
Raiders of the Lost Ark,1981,Color,115,Action,Adventure,,,,,,14000,11000,783,488,661017,12906,1,archeological dig,archeologist,ark of the covenant,egypt,nazi,771,English,USA,PG,"$242,374,454 ","$18,000,000 ",13.47,8.5,2.35," 4,000 "
Home Alone 2: Lost in New York,1992,Color,120,Adventure,Comedy,Family,,,,,0,3000,1000,1000,200077,7860,2,airport,christmas,florida,new york city,toy store,189,English,USA,PG,"$173,585,516 ","$18,000,000 ",9.64,6.6,1.85, -   
Close Encounters of the Third Kind,1977,Color,135,Drama,Sci0Fi,,,,,,14000,559,481,252,139288,1591,0,alien,close encounter of the third kind,mothership,ufo,vision,339,English,USA,PG,"$128,300,000 ","$19,400,870 ",6.61,7.7,2.35, 83 
Pulse,2006,Color,90,Drama,Horror,Sci0Fi,Thriller,,,,2,16000,1000,807,24969,19952,0,cell phone,computer,computer hacker,e mail,technology,258,English,USA,PG013,"$20,259,297 ","$20,000,000 ",1.01,4.7,2.35, -   
Beverly Hills Cop II,1987,Color,100,Action,Comedy,Crime,Thriller,,,,12000,936,901,605,84824,4121,1,detective,police,police chief,robbery,tall woman,95,English,USA,R,"$153,665,036 ","$28,000,000 ",5.49,6.4,2.35, 937 
Bringing Down the House,2003,Color,105,Comedy,,,,,,,163,1000,409,338,30058,2505,2,divorce,lawyer,spanking,villain arrested,wrongful conviction,236,English,USA,PG013,"$132,541,238 ","$33,000,000 ",4.02,5.5,2.35," 21,000 "
The Silence of the Lambs,1991,Color,138,Crime,Drama,Horror,Thriller,,,,438,12000,826,173,887467,13184,0,case file,fbi agent,psycho thriller,psychopath,serial killer,916,English,USA,R,"$130,727,000 ","$19,000,000 ",6.88,8.6,1.85, 507 
